city,date,fare,ride_id
Sarabury,1/16/16 13:49,38.35,5400000000000
South Roy,1/2/16 18:42,17.49,4040000000000
Wiseborough,1/21/16 17:35,44.18,3650000000000
Spencertown,7/31/16 14:53,6.87,2240000000000
Nguyenbury,7/9/16 4:42,6.28,1540000000000
New Jeffrey,2/22/16 18:36,36.01,9760000000000
Port Johnstad,6/7/16 2:39,17.15,4350000000000
Jacobfort,9/20/16 20:58,22.98,1500000000000
Travisville,1/15/16 17:32,27.39,850000000000
Sandymouth,11/16/16 7:27,21.61,2390000000000
New Andreamouth,4/11/16 7:20,7.72,9990000000000
New Christine,9/13/16 15:06,24.89,7920000000000
Stewartview,3/29/16 5:15,23.88,6780000000000
Rodriguezburgh,9/5/16 5:20,4.54,9650000000000
West Sydneyhaven,8/2/16 21:18,12.87,7990000000000
Swansonbury,7/11/16 18:42,39.3,744000000000
Lisatown,7/5/16 18:09,5.82,6370000000000
East Erin,11/3/16 1:03,7.51,4740000000000
Port Martinberg,1/6/16 17:11,8.66,7300000000000
Wiseborough,9/12/16 18:43,26.83,9300000000000
Edwardsbury,2/27/16 3:55,20.17,8510000000000
Jacobfort,6/12/16 17:01,34.47,4140000000000
Pamelahaven,3/26/16 12:56,36.43,3020000000000
Fosterside,8/12/16 11:52,28.08,133000000000
Jacobfort,9/17/16 12:38,38.25,2180000000000
West Sydneyhaven,8/23/16 14:49,36.12,5890000000000
West Alexis,1/16/16 0:33,26.62,1570000000000
Carrollfort,6/24/16 20:11,6.45,1090000000000
New David,1/12/16 20:48,38.68,5230000000000
Stewartview,10/15/16 5:26,11.74,8400000000000
Williamshire,6/22/16 7:53,39.81,5320000000000
Spencertown,7/12/16 2:52,31.39,755000000000
Torresshire,10/29/16 12:28,23.5,6170000000000
New Aaron,8/12/16 17:14,34.63,6250000000000
Kelseyland,8/19/16 4:27,5.51,6250000000000
Spencertown,6/13/16 3:01,25.91,7410000000000
Williamshire,3/22/16 6:49,5.78,4030000000000
Lake Sarashire,7/16/16 2:33,34.69,7540000000000
Swansonbury,9/17/16 15:52,29.95,5580000000000
South Roy,12/3/16 8:39,32.88,7100000000000
Pearsonberg,3/27/16 3:46,6.72,928000000000
Wiseborough,10/1/16 9:57,37.84,1620000000000
Aprilchester,5/11/16 7:04,20.29,1080000000000
South Josephville,6/1/16 5:15,28.33,7960000000000
Sarabury,7/23/16 7:42,21.76,7550000000000
Port Martinberg,10/14/16 0:03,11.62,8420000000000
Davistown,8/31/16 20:43,34.77,2560000000000
Lake Jeffreyland,10/22/16 13:25,26.82,3280000000000
Port Samantha,1/6/16 20:50,34.72,5730000000000
Smithhaven,3/23/16 11:06,9.17,7820000000000
West Jefferyfurt,7/8/16 5:37,28.75,710000000000
Jacobfort,6/23/16 10:30,16.24,1220000000000
Zimmermanmouth,6/29/16 21:29,17.12,1210000000000
Eriktown,7/26/16 10:58,19.81,6340000000000
Eriktown,1/3/16 10:46,22.9,5880000000000
Kellershire,5/5/16 8:07,26.5,6980000000000
West Alexis,8/29/16 18:17,6.16,209000000000
Alyssaberg,5/28/16 9:20,35.61,7470000000000
Lake Jennaton,6/5/16 12:00,25.56,9580000000000
West Brandy,4/12/16 0:51,34.59,9600000000000
Port Samantha,4/4/16 10:57,33.91,7430000000000
New Aaron,10/30/16 22:19,8.44,1130000000000
Sarabury,4/2/16 4:32,38.03,4930000000000
West Oscar,10/5/16 22:23,32.64,7920000000000
Edwardsbury,1/28/16 23:28,26.61,6100000000000
Arnoldview,3/24/16 5:50,38.73,9910000000000
Swansonbury,1/4/16 20:54,17.1,7450000000000
Port Johnstad,11/19/16 2:08,34.47,3220000000000
South Louis,6/19/16 5:30,35.29,320000000000
Lisaville,1/6/16 3:50,19.6,239000000000
New Maryport,2/10/16 5:36,23.41,397000000000
West Dawnfurt,7/24/16 15:18,30.8,3840000000000
Davidtown,10/12/16 17:56,24.65,9380000000000
West Peter,8/16/16 23:26,7.25,1040000000000
Spencertown,1/16/16 18:28,35.59,7000000000000
Rodriguezburgh,11/21/16 10:41,26.13,6510000000000
Russellport,9/8/16 17:46,13.81,1030000000000
Rodriguezburgh,5/22/16 21:34,8.83,5140000000000
West Brandy,8/19/16 3:53,17.72,1900000000000
South Roy,11/20/16 2:09,6.81,6510000000000
Russellport,2/2/16 20:46,18.96,7230000000000
Zimmermanmouth,8/11/16 11:17,5.97,7280000000000
Sarabury,6/23/16 5:03,26.82,6710000000000
East Douglas,10/1/16 19:07,16.36,8450000000000
Kellershire,11/2/16 16:34,15.29,7140000000000
Davistown,2/29/16 22:39,15.58,2610000000000
Davistown,5/26/16 20:42,12.96,3750000000000
Mooreview,5/31/16 13:20,24.82,9880000000000
Zimmermanmouth,8/1/16 20:38,34.95,2260000000000
Port Johnstad,8/21/16 8:03,15.92,4310000000000
Port Josephfurt,9/20/16 19:27,14,2470000000000
East Douglas,7/19/16 7:42,11.24,8570000000000
East Douglas,9/20/16 2:40,23.26,825000000000
Torresshire,5/24/16 15:47,29.25,9780000000000
West Brandy,10/4/16 21:18,20.62,1060000000000
New Christine,1/26/16 13:18,23.52,1420000000000
New Andreamouth,11/18/16 15:01,17.64,8670000000000
Lisatown,10/14/16 9:22,33.4,9890000000000
Port Johnstad,8/27/16 18:09,22.48,9410000000000
Wiseborough,9/12/16 0:38,20.62,8630000000000
South Bryanstad,8/12/16 12:15,21.78,7010000000000
New Maryport,2/26/16 22:31,19.52,393000000000
West Jefferyfurt,2/18/16 4:54,7.71,5380000000000
New David,7/8/16 23:48,31.51,4500000000000
Nguyenbury,11/8/16 19:22,19.49,1700000000000
Swansonbury,11/26/16 12:07,43.98,4620000000000
Prattfurt,5/13/16 22:09,11.3,5490000000000
New Aaron,10/4/16 21:47,42.87,3210000000000
Davistown,6/7/16 18:54,22.35,7310000000000
Stewartview,6/30/16 23:03,15.58,2450000000000
West Jefferyfurt,6/15/16 22:30,20.25,2460000000000
Vickimouth,6/17/16 4:23,40.88,2620000000000
South Louis,9/8/16 2:07,38.81,9680000000000
New David,9/11/16 5:05,10.05,1690000000000
West Dawnfurt,3/6/16 18:21,28.26,3900000000000
Davistown,1/14/16 6:15,7.61,9210000000000
Port Josephfurt,7/1/16 23:19,5.6,3230000000000
Alvarezhaven,4/18/16 20:51,31.93,4270000000000
West Peter,2/4/16 5:21,32.23,5460000000000
New Andreamouth,8/22/16 6:59,43.14,5030000000000
Wiseborough,10/29/16 19:14,13.85,8840000000000
East Douglas,4/2/16 13:49,28.17,3800000000000
Kelseyland,4/17/16 6:59,5.54,7470000000000
Smithhaven,4/26/16 16:06,30.35,8280000000000
West Jefferyfurt,6/8/16 6:50,22.13,8740000000000
Alvarezhaven,8/1/16 0:39,6.42,8390000000000
West Peter,1/11/16 14:29,10.13,60400779470
Sarabury,9/30/16 12:48,30.3,6390000000000
Yolandafurt,7/3/16 17:13,32.91,1050000000000
Lake Jennaton,6/12/16 21:55,15.68,6360000000000
Lake Jeffreyland,12/4/16 12:34,17.25,3970000000000
Spencertown,8/11/16 12:33,12.76,453000000000
Nguyenbury,3/19/16 13:08,35.07,9200000000000
Alyssaberg,4/29/16 20:53,19.77,44295036528
Yolandafurt,6/1/16 1:49,31.05,308000000000
Davidtown,8/7/16 11:22,35.99,8760000000000
Davistown,4/26/16 3:20,17.22,7890000000000
Fosterside,4/1/16 4:46,13.17,2910000000000
West Peter,1/25/16 13:57,27.53,5400000000000
West Brittanyton,6/7/16 7:40,16.54,9660000000000
Port Martinberg,6/12/16 10:31,38.4,2190000000000
Travisville,3/1/16 19:20,33.99,3330000000000
West Sydneyhaven,10/16/16 9:38,5.07,3090000000000
West Oscar,11/26/16 13:24,44.48,8260000000000
Sandymouth,10/3/16 5:05,20.3,9270000000000
Spencertown,6/14/16 16:52,8.58,8120000000000
Carrollfort,1/2/16 18:46,40.84,3710000000000
Pamelahaven,7/12/16 2:19,44.39,8860000000000
South Louis,7/26/16 16:34,33.19,6570000000000
West Peter,6/7/16 2:32,27.05,1010000000000
Lisaville,2/5/16 2:25,37.01,4010000000000
New Aaron,10/18/16 23:07,27.41,4270000000000
Travisville,10/16/16 19:55,25.52,2620000000000
Lake Jeffreyland,8/29/16 5:21,7.69,7920000000000
Stewartview,5/29/16 22:39,39.36,4910000000000
Alvarezhaven,9/1/16 22:57,18.09,1200000000000
Prattfurt,2/3/16 14:17,13.15,3250000000000
Arnoldview,3/29/16 20:04,32.63,8170000000000
East Erin,10/4/16 10:31,32.35,3960000000000
Rodriguezburgh,10/7/16 11:09,25.19,7710000000000
Sarabury,8/4/16 0:25,27.2,2430000000000
Alyssaberg,1/17/16 7:11,21.03,3140000000000
Arnoldview,2/14/16 2:12,34.2,5950000000000
Kelseyland,5/4/16 15:06,30.54,2140000000000
West Oscar,7/20/16 23:09,13.62,3420000000000
Rodriguezburgh,6/11/16 21:01,27.66,6960000000000
Lake Jeffreyland,4/10/16 15:48,38.54,7590000000000
Lake Jennaton,5/21/16 13:23,35.1,2650000000000
Jacobfort,3/13/16 23:58,13.72,3110000000000
Swansonbury,10/20/16 8:38,9.85,956000000000
Fosterside,1/19/16 1:06,10.11,7230000000000
Kelseyland,1/25/16 20:44,12.08,1900000000000
Stewartview,10/27/16 13:17,37.12,3870000000000
Russellport,8/5/16 5:51,43.57,1410000000000
Williamshire,1/30/16 7:31,34.93,6850000000000
Pearsonberg,2/8/16 3:40,23.2,2170000000000
West Dawnfurt,9/18/16 18:24,19.67,2850000000000
Pearsonberg,9/16/16 3:21,40.56,2940000000000
Travisville,8/5/16 8:01,17.8,6640000000000
Spencertown,10/1/16 19:56,11.43,6590000000000
Edwardsbury,8/25/16 21:23,15.4,4380000000000
New David,3/29/16 9:41,24.47,8590000000000
Spencertown,5/10/16 4:55,5.13,3220000000000
West Sydneyhaven,8/6/16 19:00,16.35,2840000000000
Eriktown,1/18/16 17:58,23.56,7950000000000
West Brandy,6/16/16 10:11,13.25,1350000000000
East Erin,10/6/16 18:54,36.97,9200000000000
New Andreamouth,8/23/16 23:45,23.05,4340000000000
Carrollfort,3/7/16 22:54,16.4,2230000000000
Jacobfort,7/19/16 12:38,43.64,9410000000000
